Standard & Poors 500 Index,Last: 3856.28,Change:  1.85,,,,,,,,,,,,,,,,,,,
"Date: July 12, 2022, 11:55 AM EDT",Bid: 3855.3701,Ask: 3857.1599,Size: 1*1,Volume: 0,,,,,,,,,,,,,,,,,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Jul 12 2022,SPXW220712C01000000,0,0,2855.8,2857.5,0,0,1,0,0,1000,SPXW220712P01000000,0,0,0,0.05,0,0,0,0,0
Tue Jul 12 2022,SPXW220712C01200000,0,0,2655.8,2657.5,0,0,1,0,0,1200,SPXW220712P01200000,0,0,0,0.05,0,0,0,0,0
Tue Jul 12 2022,SPXW220712C01400000,0,0,2455.8,2457.5,0,0,1,0,0,1400,SPXW220712P01400000,0,0,0,0.05,0,0,0,0,0
Tue Jul 12 2022,SPXW220712C01600000,0,0,2255.8,2257.5,0,0,1,0,0,1600,SPXW220712P01600000,0,0,0,0.05,0,0,0,0,0
Tue Jul 12 2022,SPXW220712C01800000,0,0,2055.8,2057.5,0,0,0.9999,0,0,1800,SPXW220712P01800000,0,0,0,0.05,0,0,-0.0001,0,0
Tue Jul 12 2022,SPXW220712C02000000,0,0,1855.8,1857.5,0,0,0.9999,0,0,2000,SPXW220712P02000000,0.05,0,0,0.05,0,8.3866,-0.0001,0,10
Tue Jul 12 2022,SPXW220712C02200000,0,0,1655.8,1657.5,0,0,0.9999,0,0,2200,SPXW220712P02200000,0.05,0,0,0.05,0,7.22,-0.0001,0,20
Tue Jul 12 2022,SPXW220712C02400000,0,0,1455.8,1457.5,0,0,0.9998,0,0,2400,SPXW220712P02400000,0.05,0,0,0.05,0,6.151,-0.0002,0,20
Tue Jul 12 2022,SPXW220712C02600000,0,0,1255.8,1257.5,0,0,0.9998,0,0,2600,SPXW220712P02600000,0.05,0,0,0.05,0,5.1626,-0.0002,0,38
Tue Jul 12 2022,SPXW220712C02800000,0,0,1055.8,1057.5,0,0,0.9997,0,0,2800,SPXW220712P02800000,0.05,0,0,0.05,0,4.2413,-0.0003,0,16
